ID;Type;Temperature;L;R;A_M;Color;Spectral_Class
44;4;3008;280000;25;-6;Red;M
45;4;3600;320000;29;-6.6;Red;M
46;4;3575;123000;45;-6.78;Red;M
47;4;3574;200000;89;-5.24;Red;M
48;4;3625;184000;84;-6.74;Red;M
49;4;33750;220000;26;-6.1;Blue;B
50;5;3490;270000;1520;-9.4;Red;M
51;5;3750;283000;1260;-7.63;Red;M
52;5;3834;272000;1183;-9.2;Red;M
53;5;3749;550000;1648;-8.05;Orange;M
54;5;3650;310000;1324;-7.79;Red;M
55;5;3450;263000;1349;-11.75;Red;M
56;5;3660;363000;1673;-11.92;Red;M
57;5;3450;174000;1284;-11.28;Red;M
58;5;3752;209000;955;-11.24;Red;M
59;5;3535;195000;1546;-11.36;Red;M
60;0;3341;0.0056;0.057;16.23;Red;M
61;0;3432;0.00067;0.19;16.94;Red;M
62;0;2983;0.00024;0.094;16.09;Red;M
63;0;2835;0.00034;0.0918;16.96;Red;M
64;0;2935;0.00014;0.116;18.89;Red;M
65;0;3295;0.00098;0.132;17.13;Red;M
66;0;2945;0.00032;0.093;18.34;Red;M
67;0;2817;0.00098;0.0911;16.45;Red;M
68;0;2774;0.00036;0.118;17.39;Red;M
69;0;2871;0.00072;0.12;19.43;Red;M
70;1;3345;0.021;0.273;12.3;Red;M
71;1;3607;0.022;0.38;10.12;Red;M
72;1;3304;0.0085;0.18;13.2;Red;M
73;1;3150;0.0088;0.35;11.94;Red;M
74;1;3550;0.004;0.291;10.89;Red;M
75;1;3180;0.001;0.35;11.76;Red;M
76;1;2890;0.0034;0.24;13.46;Red;M
77;1;3342;0.0015;0.307;11.87;Red;M
78;1;2621;0.0006;0.098;12.81;Red;M
79;1;3158;0.00135;0.161;13.98;Red;M
80;2;7100;0.00029;0.012;14.09;White-Yellow;F
81;2;10574;0.00014;0.0092;12.02;White;F
82;2;8930;0.00056;0.0095;13.78;white;A
83;2;17200;0.00098;0.015;12.45;Blue White;B
84;2;14100;0.00067;0.0089;12.17;Blue White;B
85;2;9675;0.00045;0.0109;13.98;Blue White;A
86;2;12010;0.00078;0.0092;12.13;Blue White;B
87;2;10980;0.00074;0.0087;11.19;Blue White;B
88;2;13720;0.00018;0.00892;12.97;white;F
89;2;19860;0.0011;0.0131;11.34;Blue;B
90;3;5300;0.59;0.91;5.49;yellow-white;F
91;3;4526;0.153;0.865;6.506;yellowish;K
92;3;4077;0.085;0.795;6.228;yellowish;K
93;3;4980;0.357;1.13;4.78;Yellowish;K
94;3;9030;45;2.63;1.45;Blue-white;A
95;3;11250;672;6.98;-2.3;Blue-white;A
96;3;5112;0.63;0.876;4.68;Orange-Red;K
97;3;7720;7.92;1.34;2.44;yellow-white;F
98;3;12098;689;7.01;0.02;Blue-white;A
99;3;36108;198000;10.2;-4.4;Blue;O
100;4;33300;240000;12;-6.5;Blue;B
101;4;40000;813000;14;-6.23;Blue;O
102;4;23000;127000;36;-5.76;Blue;O
103;4;17120;235000;83;-6.89;Blue;O
104;4;11096;112000;12;-5.91;Blue;O
105;4;14245;231000;42;-6.12;Blue;O
106;4;24630;363000;63;-5.83;Blue;O
107;4;12893;184000;36;-6.34;Blue;O
108;4;24345;142000;57;-6.24;Blue;O
109;4;33421;352000;67;-5.79;Blue;O
110;5;3459;100000;1289;-10.7;Red;M
111;5;3605;126000;1124;-10.81;Red;M
112;5;3615;200000;1635;-11.33;Red;M
113;5;3399;117000;1486;-10.92;Red;M
114;5;3610;132000;1522;-10.86;Red;M
115;5;3553;145000;1324;-11.03;Red;M
116;5;4015;282000;1534;-11.39;Red;K
117;5;3625;74000;876;-10.25;Red;M
118;5;6850;229000;1467;-10.07;Red;G
119;5;3780;200000;1324;-10.7;Red;M
120;0;3323;0.00043;0.0912;17.16;Red;M
121;0;3531;0.00093;0.0976;19.94;Red;M
122;0;3218;0.00054;0.11;20.02;Red;M
123;0;3146;0.00015;0.0932;16.92;Red;M
124;0;3511;0.00064;0.109;17.12;Red;M
125;0;3225;0.00076;0.121;19.63;Red;M
126;0;2935;0.00087;0.0932;16.88;Red;M
127;0;2861;0.00019;0.0899;16.71;Red;M
128;0;2856;0.000896;0.0782;19.56;Red;M
129;0;2731;0.000437;0.0856;18.09;Red;M
130;1;3095;0.00019;0.492;10.87;Red;M
131;1;3607;0.00023;0.38;10.34;Red;M
132;1;3100;0.008;0.31;11.17;Red;M
133;1;2989;0.0087;0.34;13.12;Red;M
134;1;3542;0.0009;0.62;14.23;Red;M
135;1;3243;0.0023;0.73;14.75;Red;M
136;1;3091;0.0081;0.24;11.43;Red;M
137;1;3598;0.0011;0.56;14.26;Red;M
138;1;3324;0.0034;0.34;12.23;Red;M
139;1;3541;0.0013;0.256;14.33;Red;M
140;2;13420;0.00059;0.00981;13.67;Blue White;B
141;2;21020;0.0015;0.0112;11.52;Blue;B
142;2;18290;0.0013;0.00934;12.78;Blue;B
143;2;14520;0.00082;0.00972;11.92;Blue White;B
144;2;11900;0.00067;0.00898;11.38;Blue white;B
145;2;8924;0.00028;0.00879;14.87;Blue white;A
146;2;12912;0.00071;0.00945;12.83;Blue white;B
147;2;14732;0.00011;0.00892;12.89;white;F
148;2;7723;0.00014;0.00878;14.81;White;A
149;2;12984;0.00088;0.00996;11.23;Blue White;B
150;3;29560;188000;6.02;-4.01;Blue-white;B
151;3;8945;38;2.487;0.12;Blue-White;A
152;3;14060;1092;5.745;-2.04;Blue-white;A
153;3;16390;1278;5.68;-3.32;Blue-white;B
154;3;25070;14500;5.92;-3.98;Blue-white;B
155;3;28700;16790;6.4;-4.09;Blue-white;B
156;3;26140;14520;5.49;-3.8;Blue-white;B
157;3;20120;4720;6.78;-3.4;Blue-white;B
158;3;13023;998;6.21;-1.38;Blue-white;A
159;3;37800;202900;6.86;-4.56;Blue;O
160;4;25390;223000;57;-5.92;Blue;O
161;4;11567;251000;36;-6.245;Blue;O
162;4;12675;452000;83;-5.62;Blue;O
163;4;5752;245000;97;-6.63;Blue;O
164;4;8927;239000;35;-7.34;Blue;O
165;4;7282;131000;24;-7.22;Blue;O
166;4;19923;152000;73;-5.69;Blue;O
167;4;26373;198000;39;-5.83;Blue;O
168;4;17383;342900;30;-6.09;Blue;O
169;4;9373;424520;24;-5.99;Blue;O
170;5;3570;320000;1480;-7.58;Red;M
171;5;3500;138000;1420;-8.18;Red;M
172;5;4287;630000;1315;-9.2;Orange;K
173;5;26000;316000;1679;-9.1;Blue;B
174;5;3600;240000;1190;-7.89;Red;M
175;5;3614;145000;1553;-7.71;Red;M
176;5;18000;200000;1045;-8.3;Blue;O
177;5;11000;170000;1779;-9.9;Blue-white;B
178;5;12100;120000;708.9;-7.84;Blue-white;B
179;5;24490;248490;1134.5;-8.24;Blue-white;B
180;0;2831;0.000231;0.0915;16.21;Red;M
181;0;2914;0.000631;0.116;18.39;Red;M
182;0;3419;0.000245;0.126;17.56;Red;M
183;0;3218;0.000452;0.0987;17.34;Red;M
184;0;3453;0.000621;0.0773;17.08;Red;M
185;0;2889;0.000352;0.0973;16.93;Red;M
186;0;2968;0.000461;0.119;17.45;Red;M
187;0;3484;0.000551;0.0998;16.67;Red;M
188;0;2778;0.000849;0.112;19.45;Red;M
189;0;3523;0.000957;0.129;16.35;Red;M
190;1;3462;0.0053;0.148;11.47;Red;M
191;1;3257;0.0024;0.46;10.73;Red;M
192;1;2994;0.0072;0.28;13.45;Red;M
193;1;3212;0.0016;0.378;12.854;Red;M
194;1;3523;0.0054;0.319;12.43;Red;M
195;1;3598;0.0027;0.67;13.667;Red;M
196;1;3142;0.00132;0.258;14.12;Red;M
197;1;3496;0.00125;0.336;14.94;Red;M
198;1;3324;0.0065;0.471;12.78;Red;M
199;1;3463;0.0027;0.675;14.776;Red;M
200;2;16790;0.0014;0.0121;12.87;Blue;B
201;2;15680;0.00122;0.0114;11.92;Blue;B
202;2;14982;0.00118;0.0113;12.23;Blue;B
203;2;13340;0.00109;0.0116;12.9;Blue;B
204;2;18340;0.00134;0.0124;11.22;Blue;B
205;2;19920;0.00156;0.0142;11.34;Blue;B
206;2;24020;0.00159;0.0127;10.55;Blue;B
207;2;23092;0.00132;0.0104;10.18;Blue;B
208;2;17920;0.00111;0.0106;11.66;Blue;B
209;2;19360;0.00125;0.00998;11.62;Blue;B
210;3;22350;12450;6.36;-3.67;Blue-white;B
211;3;10012;552;5.856;0.013;Blue-white;A
212;3;13089;788;5.992;-0.12;Blue-white;A
213;3;22012;6748;6.64;-2.55;Blue-white;B
214;3;34190;198200;6.39;-4.57;Blue;O
215;3;32460;173800;6.237;-4.36;Blue;O
216;3;9320;29;1.91;1.236;Blue-white;A
217;3;19400;10920;6.03;-3.08;Blue-white;B
218;3;17140;883;5.653;-2.64;Blue-white;B
219;3;8250;9.25;1.93;-0.98;yellow-white;F
220;4;23678;244290;35;-6.27;Blue;O
221;4;12749;332520;76;-7.02;Blue;O
222;4;9383;342940;98;-6.98;Blue;O
223;4;23440;537430;81;-5.975;Blue;O
224;4;16787;246730;62;-6.35;Blue;O
225;4;18734;224780;46;-7.45;Blue;O
226;4;9892;593900;80;-7.262;Blue;O
227;4;10930;783930;25;-6.224;Blue;O
228;4;23095;347820;86;-5.905;Blue;O
229;4;21738;748890;92;-7.346;Blue;O
230;5;24145;382993;1494;-8.84;Blue-white;B
231;5;38234;272830;1356;-9.29;Blue;O
232;5;32489;648430;1948.5;-10.84;Blue;O
233;5;27739;849420;1252;-7.59;Blue-white;B
234;5;21904;748490;1130;-7.67;Blue-white;B
235;5;38940;374830;1356;-9.93;Blue;O
236;5;30839;834042;1194;-10.63;Blue;O
237;5;8829;537493;1423;-10.73;White;A
238;5;9235;404940;1112;-11.23;White;A
239;5;37882;294903;1783;-7.8;Blue;O
